N	|_Player_| |_AI_|
0:	[G3-H4] - [D6-E5]
1:	[F2-G3] - [F6-G5]
2:	[H4:F6:D4] - [E7-D6]
3:	[G3-H4] - [H6-G5]
4:	[H4:F6] - [G7:E5]
5:	[D4:F6] - [D8-E7]
6:	[F6:D8] - [B6-C5]
7:	[D8:B6:D4] - [A7-B6]
8:	[D4:A7] - [D6-C5]
9:	[A7:D4] - [H8-G7]
10:	[D4:H8] - [F8-E7]
11:	[H8-F6] - [E7:G5]
12:	[E3-F4] - [G5:E3]
13:	[D2:F4] - [B8-C7]
14:	[C3-D4] - [C7-B6]
15:	[D4-C5] - [B6:D4]
16:	[F4-E5] - [D4:F6]
17:	[B2-C3] - [F6-G5]
18:	[E1-D2] - [G5-H4]
19:	[H2-G3] - [H4:F2]
AI - win
